Id,Type,Title,Year,LengthMinutes,MediaGenres
tt0272388,tvSeries,House of Mouse,2001,30,"Animation,Comedy,Family"
tt0272397,tvSeries,Kath & Kim,2002,26,Comedy
tt0272414,tvSeries,Totally Hoops,2001,30,"Family,Reality-TV,Sport"
tt0272440,movie,According to Spencer,2001,94,"Comedy,Drama,Romance"
tt0272454,movie,L'art (délicat) de la séduction,2001,95,"Comedy,Romance"
tt0272543,movie,Censor,2001,165,Drama
tt0272557,movie,Contagion,2002,95,"Drama,Sci-Fi"
tt0272563,movie,The Crooked Mile,2001,120,Comedy
tt0272590,movie,Jacked Up,2001,96,"Crime,Drama,Thriller"
tt0272607,movie,Farz,2001,157,"Action,Crime,Drama"
tt0272647,movie,Happiness Is a Warm Gun,2001,95,"Drama,Sci-Fi"
tt0272688,movie,Kasoor,2001,151,"Drama,Mystery,Thriller"
tt0272696,tvSeries,Late Friday,2001,60,Comedy
tt0272730,movie,The Mesmerist,2002,95,"Comedy,Mystery"
tt0272736,movie,Mujhse Dosti Karoge!,2002,149,"Comedy,Drama,Family"
tt0272958,tvSeries,Die Biester,2001,45,Comedy
tt0272959,tvSeries,Bill and Ben,2001,10,"Animation,Family,Fantasy"
tt0272960,tvSeries,Bradaz,2001,25,Comedy
tt0272980,tvSeries,The Job,2001,30,"Comedy,Crime"
tt0272993,tvSeries,Langt fra Las Vegas,2001,25,"Comedy,Drama"
tt0273003,tvSeries,"Nadia Coupeau, dite Nana",2001,180,Drama
tt0273008,tvSeries,Popstars,2001,30,"Documentary,Game-Show,Music"
tt0273013,tvSeries,Radio Pirata,2001,30,"Comedy,Family"
tt0273015,tvSeries,Les redoutables,2001,10,"Comedy,Fantasy,Thriller"
tt0273025,tvSeries,Temptation Island,2001,60,Reality-TV
tt0273041,movie,13th Child,2002,99,"Horror,Mystery,Thriller"
tt0273048,movie,30 Years to Life,2001,110,"Comedy,Drama,Romance"
tt0273057,movie,Jon Good's Wife,2001,82,Horror
tt0273069,movie,L'adversaire,2002,129,"Crime,Drama,Mystery"
tt0273083,movie,Angelozis gadaprena,2001,77,Drama
tt0273106,tvSeries,Barbara Wood: Traumzeit,2001,180,Drama
tt0273108,movie,The Beautiful Country,2004,125,Drama
tt0273123,movie,Blek Giek,2001,100,Comedy
tt0273148,movie,La chambre des officiers,2001,135,"Drama,Romance,War"
tt0273226,movie,Focus,2001,98,"Action,Crime"
tt0273228,movie,Freez'er,2001,83,"Horror,Thriller"
tt0273244,movie,The Gospel According to Philip K. Dick,2001,80,Documentary
tt0273253,movie,Haiku Tunnel,2001,88,Comedy
tt0273300,movie,Jump Tomorrow,2001,97,"Comedy,Drama,Romance"
tt0273311,movie,Killer Me,2001,80,"Horror,Mystery,Thriller"
tt0273326,movie,Et rigtigt menneske,2001,95,Drama
tt0273341,tvSeries,Fjortis,2001,25,"Comedy,Drama"
tt0273342,tvSeries,"Flo, fjell og fjære: Jostein Flo utforsker Vestlandet",2001,30,Documentary
tt0273344,tvSeries,En fot i graven,2001,30,Comedy
tt0273348,tvSeries,Girls on Top,2001,30,Documentary
tt0273366,tvSeries,Lizzie McGuire,2001,30,"Comedy,Drama,Family"
tt0273374,tvSeries,MythQuest,2001,49,"Adventure,Family,Fantasy"
tt0273379,tvSeries,Phoenix Nights,2001,25,Comedy
tt0273386,tvSeries,Seitsemän,2001,45,"Comedy,Drama"
tt0273406,movie,Aashiq,2001,160,"Action,Drama,Romance"
tt0273435,movie,Ararat,2002,115,"Drama,War"
tt0273453,movie,Bark!,2002,94,"Comedy,Drama"
tt0273457,movie,Beauty Betrayed,2002,98,"Crime,Thriller"
tt0273463,movie,Besvärliga människor,2001,84,Drama
tt0273493,tvSeries,"Cartouche, prince des faubourgs",2001,26,"Adventure,Animation"
tt0273498,movie,Choosing Matthias,2001,90,"Drama,Family"
tt0273517,movie,Darkness,2002,88,Horror
tt0273544,movie,Domani,2001,88,Drama
tt0273568,movie,Ennyiböl ennyi,2001,86,Drama
tt0273605,movie,Feindliche Übernahme - althan.com,2001,95,"Action,Crime,Thriller"
